tag,release_datetime
v1.2.0-beta,2024-11-22T16:15:39
v1.3.0-beta,2024-11-28T11:37:08
v1.4.0-beta,2024-12-05T12:37:54
v2.0.0-beta,2025-01-15T08:12:22
v2.2.0-beta,2025-01-31T12:56:40
v2.3.0-beta,2025-02-27T16:37:31
v2.3.1-beta,2025-03-07T09:50:18
v2.3.2-beta,2025-03-12T18:04:38
v2.4.0-beta,2025-05-12T14:15:34
v2.5.0-beta,2025-05-23T07:58:36
v2.6.0-beta,2025-06-03T17:12:12
v2.7.0-beta,2025-06-05T12:33:45
v2.8.0-beta,2025-06-06T17:53:41
v2.8.1-beta,2025-06-13T13:54:23
v2.9.0-beta,2025-06-18T20:34:27
v2.10.1-beta,2025-06-20T23:43:50
