tag,release_datetime
v1.2.0-beta,2024-11-22T12:41:40
v1.3.0-beta,2024-11-28T11:20:33
v1.4.0-beta,2024-12-05T12:16:15
v2.0.0-beta,2025-01-14T17:51:36
v2.2.0-beta,2025-01-31T12:22:30
v2.3.0-beta,2025-02-27T16:03:43
v2.3.1-beta,2025-03-06T15:30:10
v2.3.2-beta,2025-03-12T14:58:03
v2.4.0-beta,2025-05-12T10:12:53
v2.5.0-beta,2025-05-22T12:18:47
v2.5.1-beta,2025-05-23T09:04:26
v2.8.1-beta,2025-06-13T13:06:17
v2.9.0-beta,2025-06-18T17:28:46
v2.10.0-beta,2025-06-20T16:35:23
v2.10.1-beta,2025-06-20T20:05:16
v2.10.2-beta,2025-06-24T15:54:22
v2.11.0-beta,2025-06-27T13:11:39
v2.11.2-beta,2025-06-27T17:16:45
v2.12.0-beta,2025-07-02T15:44:28
v2.12.1-beta,2025-07-07T14:30:11
v2.12.2-beta,2025-07-14T08:33:14
v2.12.3-beta,2025-07-17T10:48:07
v2.12.4-beta,2025-07-23T16:13:14
v2.12.5-beta,2025-07-31T15:57:36
v2.12.6-beta,2025-08-15T09:16:17
v2.13.0-beta,2025-08-27T12:01:29
v2.14.0-beta,2025-09-16T10:27:17
v2.15.0-beta,2025-09-17T12:53:30
v2.16.0-beta,2025-09-22T11:17:37
v2.17.1-beta,2025-10-01T14:01:15
v2.17.3-beta,2025-10-09T10:30:49
